AIRTRAN AIRWAYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3507,502,3822884,4799,276,4452451,8832,683,5031798,10336,841,4525112,7000,663,4906630,9041,365,5658334,12026,601,5990763,10427,431,5188466,11998,513,5855058,13380,369,6533019,11766,264,6704438,9648,246,5604721,10016,161,6121134,11322,197,6538710,16228,321,6534974,15285,283,5526408,9042,137,5911553,7699,55,6533184,6899,189,6208390,10270,188,5344683,10948,172,5754446,14827,321,6612928,9877,139,6533427,9225,202,5718319,5614,46,5934141,8873,86,6442786,7978,109,6323023,6484,107,5080108,4781,18,5017232,3117,35,5137151,4907,49,5409351,4893,61,4487485,3240,45,4388199,2900,139,4396524,6214,215,4295783,8334,216,3543810,4242,45,3446769,2875,16,3300618,6259,57,3411731,9782,254,2961286,4568,115,2996398,3183,66,3105241,7254,639,2949509,4339,857,2550184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALASKA AIRLINES,1059,32,6891202,915,33,5911527,117,2,3007066,0,0,2247354,0,0,2110763,43,0,916543,272,0,3191140,3147,108,8547197,2730,92,9563449,3188,155,9035684,2498,158,7612627,2226,105,8260367,2494,192,9274760,2795,326,8923390,1206,120,5844254,1552,131,6103747,1761,176,6702144,2680,276,6520730,1981,206,5595050,1600,197,5019172,1627,185,6321507,1597,265,6059214,1982,284,5344476,1093,159,5430824,1267,171,6064451,1315,191,5624304,1737,219,4975547,818,137,4937496,1305,283,5517702,1027,196,4999049,1026,248,4384631,754,127,4436523,1043,245,5098158,877,152,4780066,1155,190,4203186,1162,297,4218455,1365,283,4767167,1281,276,4478526,1465,247,3910385,1226,275,4008655,1424,269,4590676,1592,384,4242336,1798,439,3759030,1633,418,3852268,2358,646,4387652,1052,221,3930261,2416,538,3332632,2478,636,3526980,2311,862,4131885,2113,626,3774628,2326,856,3258996,1771,293,3512911,1877,210,4330749,1995,183,4083082,2485,297,3619711,3741,347,3780367,4918,382,4566785,4190,88,4236434,3257,347,3401586,3972,549,3642976,4233,423,4380456,5620,789,4043982,4852,188,3424626,4454,558,3628827,6180,882,4293756,7375,462,3877571,6284,511,3505624,6787,300,3623874,6224,412,4299920,3964,325,3620268,8519,803,3587830,6443,478,3704804,5093,361,4273840,3041,178,3792324,5031,206,3252531,4919,318,3361246,5690,314,3972522,5752,321,3611865,8560,704,3187314,5749,289,3014471,8787,490,3740709,8134,599,3691239,9001,478,3192066,6493,338,3267931,8147,481,3652675,11543,627,3430810,6930,464,3160695,5721,221,3291358,4919,350,3811080,5590,435,3437651,7419,233,3063929,4998,363,3208547,4621,418,3654398,6585,523,3315925,8326,518,2850128
ALOHA AIRLINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,8,953851,34,49,1024161,105,39,993454,141,16,949892,32,0,887148,22,14,904449,41,7,829591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEGIANT AIR,519,0,3872651,203,0,3699217,3,0,2322946,6,0,2180397,11,0,2036795,15,0,1296542,1515,30,6420719,341,2,3613426,135,2,3836145,25,123,4198976,34,510,3473390,46,66,3263797,141,78,3529711,216,0,3729600,0,58,3306693,,,,,,,12323,1904,33982409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICA WEST AIRLINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8515,542,5318794,6875,362,5729835,10745,793,5694984,10330,617,5101850,11981,476,5302202,8904,227,5556933,7509,383,4885743,11888,363,4967978,9845,161,4967920,11097,206,5412827,13316,213,5261924,15157,240,4712876,14663,80,4975675,11118,38,5265565,12646,125,5109918,14166,142,4359877,11741,148,4212736,10586,109,5140026,13305,248,5428973,16119,247,5053333,11047,333,4907424,14507,376,5314934,15027,724,5311373,17354,841,4695690,17459,702,4881725,17274,738,4997967,12115,541,4794724,11702,670,4367732,13021,538,4425724,10728,439,4800905,11844,571,4686468,14218,526,4261813
AMERICAN AIRLINES,6008,480,31669647,5192,408,28314308,1453,80,14719488,591,28,14695523,2899,638,13703995,647,85,5369982,6127,465,27440927,15503,1071,35416937,25733,1890,36283824,41562,3298,36110590,28362,1724,33083888,20168,1573,33312446,12697,363,34232162,12751,195,34773590,15658,483,31525870,14215,416,32802049,10046,312,33451848,37110,296,34575839,10870,2301,30582875,11806,1714,5665703,15470,2156,33773358,12217,1800,34214085,14766,2642,31360650,13320,2426,22033306,15366,2558,36891115,18026,2245,36140078,15482,2656,33162976,13174,1475,33013513,13114,1303,34859552,17824,2304,35406731,16812,2389,32468735,12864,677,18665,13511,884,19549221,13609,647,19581,5320,543,3970731,14442,1389,18536509,16131,1355,19277469,15263,1349,19749730,14589,1478,18320011,7561,593,4293651,18097,1677,19890022,15587,1660,19650620,11820,2191,17751646,15096,1417,18934213,15107,1059,19695432,17860,1791,19706744,16124,2284,17885435,14284,1400,18649876,14645,969,19794039,15231,1153,19703056,12910,782,18099010,10143,1096,19105660,10960,1101,21237007,13654,1389,21673408,21892,1982,20231629,15666,1608,21656205,15517,1381,22581220,22536,1562,22693023,22133,2213,20850796,21987,1877,21307774,14551,1222,22118373,22493,1829,23260971,22511,2465,21213474,18218,1443,21556675,18803,1220,22928627,23387,1416,22957833,17687,1478,20623793,16266,1375,20444116,12804,786,21090205,17087,1011,21320081,23373,1122,19689387,17175,1126,19693148,20545,1022,21442000,28638,1481,20851388,23730,1186,19256485,30682,1184,21069812,29223,474,22834621,33666,431,22567734,42418,561,20320507,24591,619,15361153,30515,664,18076630,32630,591,19572339,40821,682,17817614,42165,650,18565990,47289,634,20643034,53675,888,20443165,67298,1102,18577574,56106,851,19117505,57242,713,19267801,64664,717,18585625,70213,848,16579667,57954,1075,18010537,52881,717,19275699,53211,882,18929527,57780,713,17402678
AMERICAN EAGLE AIRLINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5175,766,3712100,5018,548,4098294,4020,323,4449933,5301,509,4420134,12822,1025,18267561,4265,412,4433663,5098,402,4762988,6767,528,4820334,6437,603,4098471,17326,1458,18720802,7556,827,4449341,7647,1345,4377094,6107,994,3627278,5876,1139,4086490,5708,1557,4097842,6346,2010,4013456,3723,1629,3550434,4881,1822,3934563,4170,1410,4130995,5081,1536,4046770,3846,1060,3373399,3825,1174,3643632,2588,692,4191353,345,164,552779,345,154,552779,354,123,629569,265,51,639514,331,95,655729,319,67,561144,415,54,610898,247,66,635900,479,85,634272,583,109,507758,357,54,560082,271,26,561746,371,13,572193,682,40,503598,365,19,519285,263,23,527061,482,22,495683,572,15,399270,245,5,352336,156,11,248425,165,18,223827,191,4,180430,217,9,272877,145,0,199565,532,5,324910,351,5,281429,228,4,300951,265,37,410087,710,31,514564,488,202,508844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATA AIRLINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547,194,620591,421,146,693046,165,91,682065,298,147,640100,335,129,1070737,1072,232,1468849,1023,206,1309913,1896,912,1532801,2201,944,2226952,1048,707,2684190,1484,405,2719477,1638,290,2442387,998,151,2323876,730,286,2472201,1080,235,2457554,710,162,2122329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC SOUTHEAST AIRLINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7463,366,3426978,10215,393,3723441,11694,346,3708749,7702,179,3185462,6766,165,3527999,8389,235,3666681,7680,210,3445538,7192,164,3088354,5043,76,3071287,8633,587,3565266,8132,1131,3417449,8974,1143,2898511,7729,1098,2865082,7432,1219,3132410,5014,741,2234774,2807,552,1057771,1946,412,1089178,2196,473,1150031,2963,556,1167577,2808,527,970316,1657,397,967995,1999,333,1012369,1983,402,1115387,3892,714,1035886,1264,199,979025,441,43,1105913,566,146,1109149,1074,272,1013122,2449,334,1159876,1248,192,1002197,1187,140,913359,1425,247,772227,1998,469,804734,1950,490,775190,2211,921,781431,1498,498,663052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3933,57,1597859,5489,106,1751303,5767,106,1580773,4148,132,1315764,4713,56,1419761,5588,405,1645034,5219,712,1689159,3365,437,1377802,3921,460,1609674,5058,721,2078403,3056,483,1364690,1426,245,546701,992,131,502829,1185,113,402849,1433,159,396381,1845,153,461448,1831,101,599762,1570,180,603739,1652,143,601010,2143,135,455164,855,53,573735,86,10,702971,305,27,706715,693,72,665595,823,91,684878,828,100,675987,1204,140,608523,1368,234,510630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTINENTAL AIRLINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6593,1077,9633366,8628,1657,10157979,7981,1712,10177417,7133,1298,8706805,6665,1366,9220356,7842,1143,9511544,8075,1852,9456516,10013,2320,8494356,8580,1956,9193271,9743,1339,9873769,9795,1368,9830277,9677,1229,8626868,8087,1317,9217296,9036,1348,10171175,10245,1420,10819897,10457,1586,10075301,6669,843,10424519,9398,1401,10922476,11406,1931,11251647,8576,1925,9977651,8296,1442,10232687,8124,1226,10283941,10863,1919,10680150,12227,2500,9611189,9444,1918,9570637,7833,1276,9557668,9242,1382,9614684,13273,2642,8775816,12278,2044,9013038,12023,1433,9189561,11694,1834,9229183,11914,953,8238969,11139,1203,8569822,11273,572,9023913,14483,1190,8810539,11362,661,7934128,10706,552,8431318,10014,400,8956306,10880,510,9237902,15171,1589,8590079,21404,3167,8403431,15394,531,9548608,21880,819,10599436,17109,1249,9601442,18563,2903,9975265,12538,1922,10299565,19682,1585,10416581,15901,477,9578794,16696,493,9935520,13936,290,10202941,10910,262,10002084,22129,287,9291544,21654,199,9354140,15365,115,10002893,20361,120,9844051,18788,140,8677516
DELTA AIR LINES,12292,0,30691987,3231,0,24200394,1386,0,12861,570,0,11484571,634,0,9298752,1546,0,2956649,16399,0,27870231,26246,0,36796401,24642,3,40050497,32820,0,39153662,28276,1,32597931,22605,0,34570464,17722,0,37139292,17602,9,36208900,23777,13,30868044,24793,10,32506060,32040,29,35357057,4991,256,4061138,34388,354,29863259,36471,326,31546560,33387,306,33949408,31642,302,33838031,28325,304,29449621,32658,466,31061602,33166,479,33714771,38643,389,32706490,40939,604,27561992,27149,205,28707710,26777,564,31309829,29451,1406,30361746,24329,1878,25357895,19924,1359,26366,18240,1060,28644455,20416,2374,27642624,22445,1277,24130377,31031,2021,25496756,33809,1254,28164144,28487,1044,27142748,28208,1023,23153402,20145,730,24550823,30608,1036,27524156,28195,763,26752092,23802,656,22640522,18424,704,24546433,29292,921,26763823,30642,1017,25552761,30969,1372,21884456,10505,557,15029156,16313,1473,16549227,16303,2554,15881066,13981,2372,14426780,12987,2359,16090329,18629,2838,17188020,15169,2370,16734131,15458,2836,15722610,8671,2009,16229841,15971,3581,17820084,26821,5585,17500812,27374,5516,15904335,15096,2246,16664534,15377,2243,17401642,19648,2840,17530094,38256,4315,17079253,26099,2779,19067377,22864,2685,21197383,23197,3094,21995159,18494,2185,20650378,27385,2067,20787921,27605,1658,21171870,28817,2331,21718352,46243,3218,19485644,43603,2346,20208431,24072,2512,20871135,29997,3262,19363066,29367,2222,19153925,49703,3799,21267537,29669,1839,21324234,32435,1854,21264376,52039,1730,19530348,42710,2245,18635456,29534,1420,21724341,55258,2191,25248388,50898,933,22777490,39504,652,24042911,55339,662,26293384,69685,952,27353224,47522,1061,24342046,35040,377,24946036,43651,1567,25855692,45221,5519,26604835,54835,8144,24465503,43846,3810,24795631,55767,2667,26968275,69429,4236,26704309,64690,2736,23937587
ENDEAVOR AIR,3642,0,3824655,1181,0,3517547,385,0,1940986,233,0,2013531,77,0,1550894,277,0,404077,3775,0,2964249,6772,0,3780820,6451,0,3850464,8011,0,3767698,4432,0,3113553,4559,2,3446544,5131,0,3518387,4100,1,3617308,3117,4,2709157,,,,,,,644,203,4138695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4958,249,303617,4104,240,3291022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENVOY AIR,1150,76,3628897,1422,115,3409015,849,32,2172455,408,30,2164410,747,132,1994013,190,26,847305,1895,281,2863191,2427,544,3703185,3286,561,3361879,4439,537,3751462,3807,490,3137713,3104,453,3303994,3437,161,3388554,4273,61,3415654,3839,59,2943408,,,,,,,40,22,2829910,,,,,,,,,,,,,,,,,,,4279,529,2958349,5596,924,3255510,4485,784,3094217,4749,611,3643382,3340,422,3940167,5351,702,4146074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRESSJET AIRLINES,,,,,,,,,,,,,12,0,227234,5,0,115481,669,0,1239445,990,1,1467237,1358,0,1433425,1522,1,1257349,1470,1,1454843,1658,22,1835755,1866,3,2175952,2225,12,2350886,2230,3,2411261,3213,7,2977522,3902,22,3540146,567,42,9355804,7354,507,4137528,8615,641,32044038,9180,937,5445840,8087,847,5498667,7708,757,5175359,8968,996,5757488,9527,962,6328398,12001,1338,6567149,12437,1312,6083566,11856,1247,6968965,10615,1120,7834239,16951,2784,7135969,16093,2810,6805801,13427,1908,7769435,9715,1158,8253891,11602,1593,8226123,13100,1763,7107265,13374,1677,7729179,16699,2009,8193856,14476,1577,7989888,13962,1301,6940687,5857,678,4068518,7699,919,4367314,7985,811,4339911,6434,556,3512336,5306,664,3391575,6489,621,4303947,7358,818,4176099,6420,870,3296038,4824,607,3151179,4747,426,3448058,5730,738,3225197,5119,613,2569898,4321,461,2786163,4798,582,3457303,2966,332,1905479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
